loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),state(N)
2017-10-22 00:12:14.389 -0700,437,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.386595,46.25668334960938,-2.604236602783203,8.8155517578125,284.9031677246094,271.3855590820312,25,59569.063532,0.0297393798828125,0.0027313232421875,-1.027679443359375,59569.032743,0.08717484985821775,0.0007182545459943706,0.08051561555247462,59569.04345400001,1.631140008919552,0.02325194510967353,-0.001194838756941191,0.001506095519289374,0.01041185297071934,0.001228328095749021,0.006199629046022892,-0.0002640518650878221,-0.03039187751710415,XArbitraryCorrectedZVertical,-0.008874344639480114,0.007533920928835869,0.7280623316764832,0.6854121088981628,0.02324983291327953,0.001194838434457779,-0.9997289776802063,46.5643196105957,-0.3680874109268188,16.62424278259277,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.446 -0700,438,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.386595,46.25668334960938,-2.604236602783203,8.8155517578125,284.9031677246094,271.3855590820312,25,59569.122446,0.020050048828125,0.0036468505859375,-1.0316162109375,59569.096967,0.08862946844561903,-0.0100931142152913,0.08193721094235891,59569.107664,1.631120086241958,0.02373604523283447,-0.00144470865253874,0.003035214031115174,-0.004002153873443604,0.000204353520530276,0.004388156812638044,0.003331292187795043,-0.03224989399313927,XArbitraryCorrectedZVertical,-0.00913612637668848,0.007608954329043627,0.7280522584915161,0.6854185461997986,0.02373379096388817,0.001444708206690848,-0.9997172951698303,46.55349731445312,-0.3711588084697723,16.65443992614746,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.514 -0700,439,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.505927,46.01893615722656,-1.888629913330078,7.233779907226562,284.4028930664062,270.8852844238281,25,59569.181377,0.0206298828125,0.00201416015625,-1.037872314453125,59569.16119200001,0.09094828280675102,0.001952097079028082,0.08307784283723985,59569.171903,1.631078316922837,0.02334609766277457,-0.001311452246652795,0.004190146457403898,0.003220538841560483,-0.002359890146180987,-0.004163658712059259,-0.001998097635805607,-0.03306450694799423,XArbitraryCorrectedZVertical,-0.008948350325226784,0.007524012122303247,0.7280402779579163,0.6854346990585327,0.02334395609796047,0.001311451895162463,-0.9997266530990601,46.55837631225586,-0.3698961734771729,16.64085388183594,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.563 -0700,440,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.505927,46.01893615722656,-1.888629913330078,7.233779907226562,284.4028930664062,270.8852844238281,25,59569.24030500001,0.0267486572265625,0.0013275146484375,-1.032760620117188,59569.22543100001,0.09122232208292018,-0.01247611075869421,0.07952971331692728,59569.236143,1.630989644739383,0.0230841396645036,-0.001020892896412895,0.005604930222034454,-0.005188298877328634,-0.0009698157664388418,-0.0003007047635037452,-0.002317890059202909,-0.03063193894922733,XArbitraryCorrectedZVertical,-0.008753079921007156,0.007540393620729446,0.7280122637748718,0.6854667663574219,0.02308207750320435,0.001020892756059766,-0.999733030796051,46.56312942504883,-0.3599484860897064,16.62774467468262,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.622 -0700,441,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.56548,46.0057373046875,-2.193428039550781,7.476181030273438,284.1904296875,270.6728210449219,25,59569.299204,0.0269317626953125,0.0048980712890625,-1.03863525390625,59569.28967100001,0.08713516875797557,0.001919872829838123,0.0842424431819315,59569.268247,1.6310041183533,0.02318403348287039,-0.001033367651786567,-0.0006964374915696681,-0.007646636106073856,-0.001075114822015166,7.245031883940101e-05,-0.001735271536745131,-0.02480540424585342,XArbitraryCorrectedZVertical,-0.00879377219825983,0.007570025976747274,0.72801673412323,0.685461163520813,0.02318194508552551,0.001033367472700775,-0.9997307062149048,46.56107330322266,-0.3608256876468658,16.63349533081055,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.682 -0700,442,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.623323,46.38874816894531,-3.081314086914062,8.254302978515625,283.9403381347656,270.4227294921875,25,59569.35810300001,0.022491455078125,0.001983642578125,-1.033172607421875,59569.353874,0.08954559586060629,0.01156238018868802,0.07543403787649443,59569.33248700001,1.63088252852754,0.02335580253616514,-0.001415587801855589,0.003062849398702383,-0.004005585797131062,-0.004782869014889002,0.0007857480086386204,0.003894470864906907,-0.04090788960456848,XArbitraryCorrectedZVertical,-0.008986839093267918,0.00749030988663435,0.727972686290741,0.685506284236908,0.02335365489125252,0.001415587379597127,-0.9997262358665466,46.55869293212891,-0.3606753647327423,16.64016342163086,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.751 -0700,443,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.742718,46.53404235839844,-5.055858612060547,9.389633178710938,283.2958679199219,269.7782592773438,25,59569.41703300001,0.021759033203125,-0.0030670166015625,-1.018325805664062,59569.386015,0.09106413031416948,-0.002856240269109983,0.07690436911432717,59569.396696,1.630660241663638,0.02360150575728466,-0.001165908337448915,0.002784538548439741,0.01042361278086901,1.401701956638135e-05,0.0009520925814285874,-0.00177625915966928,-0.03345178812742233,XArbitraryCorrectedZVertical,-0.008989842608571053,0.007666405756026506,0.7278964519500732,0.6855852603912354,0.02359929867088795,0.001165908062830567,-0.9997208118438721,46.55611038208008,-0.346849113702774,16.64769172668457,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.799 -0700,444,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.742718,46.53404235839844,-5.055858612060547,9.389633178710938,283.2958679199219,269.7782592773438,25,59569.475943,0.0276031494140625,0.0027618408203125,-1.03509521484375,59569.450224,0.09096053334776538,0.001952629711246097,0.08058246089583561,59569.460935,1.63072030888062,0.02366138930608295,-0.0005855408059752748,-0.002017671708017588,-0.004106673877686262,-0.0009894862305372953,-0.001579709351062775,-0.001943573006428778,-0.02683038264513016,XArbitraryCorrectedZVertical,-0.008812930434942245,0.007897894829511642,0.7279192209243774,0.6855608224868774,0.02365917712450027,0.0005855407798662782,-0.9997199177742004,46.55295944213867,-0.3404849469661713,16.65662956237793,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.857 -0700,445,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.802947,46.98306274414062,-6.301548004150391,9.670272827148438,282.8847045898438,269.3670959472656,25,59569.534831,0.023468017578125,0.0050201416015625,-1.0341796875,59569.51446300001,0.08846222192916206,0.0007297061386817113,0.07680023951570507,59569.525175,1.630588300685157,0.02372707694766915,-0.001079171325165573,0.00179867260158062,-0.00407422287389636,-0.003400854533538222,-0.0006840652786195278,0.007618338335305452,-0.04114509373903275,XArbitraryCorrectedZVertical,-0.0090055325999856,0.007741342764347792,0.7278715968132019,0.6856106519699097,0.02372483722865582,0.001079171081073582,-0.9997179508209229,46.55205917358398,-0.3397573530673981,16.65915489196777,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.916 -0700,446,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.862438,47.33966064453125,-7.586994171142578,9.861618041992188,282.4002075195312,268.8825988769531,25,59569.593739,0.0174102783203125,-0.00030517578125,-1.03521728515625,59569.57870300001,0.08956983062652601,0.009156746776019445,0.07920960135389976,59569.589414,1.63040785289823,0.0236556358309764,-0.001392495713980785,0.000421547592850402,0.001925415475852787,-0.003509091446176171,-0.0006736701470799744,-0.001529824803583324,-0.04389036819338799,XArbitraryCorrectedZVertical,-0.009086254984140396,0.007603640668094158,0.7278087139129639,0.6856778264045715,0.02365340664982796,0.001392495236359537,-0.9997192621231079,46.554443359375,-0.3385964930057526,16.65249824523926,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:14.989 -0700,447,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.9815,48.27735900878906,-8.872447967529297,11.17549133300781,281.3653564453125,267.8477478027344,25,59569.65265900001,0.0235595703125,-0.0039520263671875,-1.03411865234375,59569.64294200001,0.08852906727252305,-0.004080761738328417,0.08060829355840937,59569.621519,1.630368108577239,0.02367903578719819,-0.0011510769978658,0.002870027674362063,0.006755852606147528,-0.002270191209390759,-0.0004224128788337111,-0.002509108977392316,-0.04216637462377548,XArbitraryCorrectedZVertical,-0.009011850692331791,0.007699696812778711,0.7277960181236267,0.685691237449646,0.02367680706083775,0.001151076750829816,-0.9997190237045288,46.55395889282227,-0.3338205516338348,16.65394401550293,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:15.034 -0700,448,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656334.9815,48.27735900878906,-8.872447967529297,11.17549133300781,281.3653564453125,267.8477478027344,25,59569.711559,0.0238189697265625,0.0029144287109375,-1.0362548828125,59569.707151,0.09123750210113363,-0.01367879430697399,0.08079364957027889,59569.68575800001,1.630364985039141,0.02359119101933097,-0.000793310470281065,0.00289437803439796,0.005553253460675478,-0.002252879552543163,0.004487176891416311,0.0007173096528276801,-0.03596888110041618,XArbitraryCorrectedZVertical,-0.008857214823365211,0.007799785584211349,0.7277968525886536,0.685691237449646,0.0235889945179224,0.000793310406152159,-0.9997214078903198,46.55719757080078,-0.3269406855106354,16.64503479003906,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:15.093 -0700,449,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656335.041235,48.79244995117188,-9.230258941650391,11.06069946289062,280.8641967773438,267.3465881347656,25,59569.77045700001,0.0210113525390625,0.006591796875,-1.041900634765625,59569.739286,0.08974346872959918,0.000740891415260044,0.07433255444963766,59569.749967,1.630193298999197,0.02337500638564083,-0.001253605662747473,0.0006496809073723853,-0.01010046154260635,-0.005839210003614426,-0.002163143828511238,0.003171442542225122,-0.04400565847754478,XArbitraryCorrectedZVertical,-0.008935705758631229,0.007558932062238455,0.7277370095252991,0.6857563853263855,0.02337285876274109,0.001253605354577303,-0.9997260570526123,46.55693817138672,-0.3259275555610657,16.64577484130859,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
2017-10-22 00:12:15.156 -0700,450,8F5CC02C-FFA6-461B-9E65-4628648E7CA4,my_iOS_device_1,1508656333.999059,37.77177058163823,-122.4192583748348,12.98932,0,138.515625,4,30,-9999,1508656335.10096,49.39996337890625,-10.10490798950195,10.55044555664062,280.3560180664062,266.8384094238281,25,59569.82938,0.021881103515625,-0.001434326171875,-1.042572021484375,59569.80348900001,0.08845902613585396,-0.0004737763579250965,0.08180724868116304,59569.814207,1.630081982523828,0.02312245820139745,-0.001458238100933604,0.004191359505057335,0.003154815873131156,0.0003046153287868947,0.004299669526517391,-0.001946519943885505,-0.05164471641182899,XArbitraryCorrectedZVertical,-0.008913562633097172,0.007398374378681183,0.7276991009712219,0.6857986450195312,0.02312037348747253,0.001458237529732287,-0.9997316002845764,46.56459808349609,-0.324357271194458,16.62438201904297,2,59555.79092566667,stationary,2,2017-10-22 00:12:01.111 -0700,null,0,0,0,0,null,0.0.0.0,0.0.0.0,5,1,0.73,0
